iter	RMSE
0	26.46814386
1	26.46721226
2	26.46631908
3	26.46543483
4	26.46458772
5	26.46368419
6	26.46277423
7	26.46203213
8	26.46130796
9	26.46056839
10	26.45987879
11	26.45921609
12	26.45853029
13	26.45784192
14	26.45720993
15	26.45675613
16	26.45621001
17	26.4556126
18	26.45503056
19	26.45447543
20	26.45393182
21	26.4533959
22	26.45280612
23	26.45220222
24	26.45172269
25	26.4512098
26	26.45065331
27	26.4501186
28	26.44974161
29	26.44932102
30	26.44890554
31	26.44840286
32	26.44799763
33	26.44755521
34	26.44707815
35	26.44663442
36	26.44622147
37	26.44571361
38	26.44524165
39	26.44479533
40	26.44442083
41	26.4439668
42	26.44356407
43	26.44314209
44	26.44282913
45	26.4423956
46	26.44194538
47	26.44160804
48	26.44119885
49	26.4407871
50	26.44036251
51	26.43994049
52	26.43956976
53	26.4393132
54	26.43898352
55	26.43860252
56	26.43817662
57	26.43777251
58	26.43726705
59	26.43679622
60	26.4363998
61	26.43612653
62	26.43578654
63	26.43522075
64	26.43485124
65	26.43433289
66	26.43398647
67	26.43362593
68	26.43322817
69	26.43287532
70	26.43250834
71	26.43217729
72	26.43180903
73	26.4313612
74	26.43099805
75	26.43049246
76	26.43002665
77	26.42966349
78	26.42934395
79	26.42898334
80	26.42866251
81	26.42829677
82	26.42793743
83	26.42757424
84	26.42724184
85	26.42683757
86	26.42661682
87	26.42609062
88	26.42563371
89	26.42525765
90	26.42485977
91	26.42440797
92	26.42406783
93	26.42364939
94	26.42333749
95	26.42295754
96	26.42261867
97	26.42222075
98	26.42184464
99	26.42152373
100	26.42105775
101	26.4206444
102	26.42019895
103	26.41975478
104	26.41929904
105	26.4188356
106	26.41839397
107	26.41786246
108	26.41749271
109	26.41690855
110	26.41655804
111	26.41612665
112	26.41576971
113	26.41538196
114	26.4149621
115	26.41451527
116	26.41413263
117	26.41384501
118	26.41351244
119	26.41313749
120	26.41281133
121	26.41251214
122	26.4121924
123	26.41182
124	26.41149768
125	26.41109702
126	26.41070149
127	26.41044337
128	26.40997463
129	26.40966128
130	26.40938901
131	26.40891512
132	26.40865698
133	26.40822674
134	26.40792492
135	26.40767961
136	26.4073033
137	26.40691157
138	26.40656478
139	26.40623341
140	26.40586863
141	26.40546404
142	26.40499264
143	26.404615
144	26.4042014
145	26.40388155
146	26.40354757
147	26.40325983
148	26.40276528
149	26.40229769
150	26.40194442
151	26.40160142
152	26.40125457
153	26.40097451
154	26.40050946
155	26.40011634
156	26.39971037
157	26.39933009
158	26.3990089
159	26.39860805
160	26.39828043
161	26.39797593
162	26.39769327
163	26.39727699
164	26.39702002
165	26.39663456
166	26.39634546
167	26.3960525
168	26.39575697
169	26.39539077
170	26.39509909
171	26.39478427
172	26.39452471
173	26.39428441
174	26.39381539
175	26.39344402
176	26.39310605
177	26.39272824
178	26.39228618
179	26.39202659
180	26.39174901
181	26.39139945
182	26.3910319
183	26.39056796
184	26.39011815
185	26.3898007
186	26.38941385
187	26.38898715
188	26.38866455
189	26.38824941
190	26.38799106
191	26.38764146
192	26.38721088
193	26.38692553
194	26.38666589
195	26.38624557
196	26.38593708
197	26.38571728
198	26.38539078
199	26.38515555
200	26.38472364
201	26.38443955
202	26.38399863
203	26.38379552
204	26.38345872
205	26.38303963
206	26.38274653
207	26.38240457
208	26.38205875
209	26.38178235
210	26.38140052
211	26.38104826
212	26.38058671
213	26.38014701
214	26.37985259
215	26.37959802
216	26.37927274
217	26.37898859
218	26.3786363
219	26.37841643
220	26.37817599
221	26.37790341
222	26.37761025
223	26.37726565
224	26.37701748
225	26.37668188
226	26.37624855
227	26.37586021
228	26.37554131
229	26.3752134
230	26.37477361
231	26.37446498
232	26.37412292
233	26.37369083
234	26.37339633
235	26.37312241
236	26.37278419
237	26.37238165
238	26.37214888
239	26.37179906
240	26.37153027
241	26.37124475
242	26.37096567
243	26.37072387
244	26.37039976
245	26.36996761
246	26.36949815
247	26.36922676
248	26.36898367
249	26.36864668
250	26.36822479
251	26.36795596
252	26.36768326
253	26.36738999
254	26.36711729
255	26.36684588
256	26.36656288
257	26.36610623
258	26.36585153
259	26.36553122
260	26.36522634
261	26.3648044
262	26.36448407
263	26.36407756
264	26.36381383
265	26.36350121
266	26.36309339
267	26.36269586
268	26.36241539
269	26.36214264
270	26.36169749
271	26.3612652
272	26.36102203
273	26.36067078
274	26.36033111
275	26.35993739
276	26.35958613
277	26.35922071
278	26.35879095
279	26.35837147
280	26.35812442
281	26.35785677
282	26.35752478
283	26.35706926
284	26.35675656
285	26.35645802
286	26.35608483
287	26.35575797
288	26.35538092
289	26.35499356
290	26.35462036
291	26.35445692
292	26.35413518
293	26.35387135
294	26.35355605
295	26.35318668
296	26.35277355
297	26.3524518
298	26.35212875
299	26.35183788
300	26.35150066
301	26.351148
302	26.35075286
303	26.35047098
304	26.35010801
305	26.34988018
306	26.3494477
307	26.34909887
308	26.34873845
309	26.34844239
310	26.3480485
311	26.34771124
312	26.34731733
313	26.34702126
314	26.34664279
315	26.34639176
316	26.34600041
317	26.34558202
318	26.34534514
319	26.34502587
320	26.3446963
321	26.34420836
322	26.34394186
323	26.34353245
324	26.34322088
325	26.3429621
326	26.34265181
327	26.34227199
328	26.34198101
329	26.34168874
330	26.34132564
331	26.34107456
332	26.3408531
333	26.3405312
334	26.34020157
335	26.33992344
336	26.33966333
337	26.33934914
338	26.3390401
339	26.33862804
340	26.33831899
341	26.33813613
342	26.33771504
343	26.33746392
344	26.33709176
345	26.33672989
346	26.33642468
347	26.33616583
348	26.33586834
349	26.33559531
350	26.33529009
351	26.3349385
352	26.33466418
353	26.33428296
354	26.3339056
355	26.33360164
356	26.3332848
357	26.33301046
358	26.33263566
359	26.33226858
360	26.33187444
361	26.33141847
362	26.33106168
363	26.33074738
364	26.33038414
365	26.3300853
366	26.3297697
367	26.32955458
368	26.32918231
369	26.3288564
370	26.32846736
371	26.32816592
372	26.32790312
373	26.32761971
374	26.32731053
375	26.32702196
376	26.32673467
377	26.32646284
378	26.32623095
379	26.3260042
380	26.32573752
381	26.32543862
