iter	Passed	Remaining
0	19	99623
1	38	95518
2	56	94364
3	75	94679
4	92	92850
5	109	91516
6	129	92107
7	147	91756
8	164	91052
9	180	90161
10	199	90342
11	229	95422
12	264	101571
13	287	102245
14	310	103301
15	337	105150
16	356	104397
17	375	103964
18	394	103461
19	412	102688
20	430	102047
21	447	101319
22	471	102066
23	503	104470
24	536	106819
25	570	109108
26	603	111175
27	626	111300
28	654	112184
29	684	113343
30	715	114644
31	736	114311
32	773	116371
33	806	117736
34	826	117220
35	844	116421
36	864	115950
37	888	115976
38	907	115430
39	926	114855
40	945	114301
41	964	113868
42	984	113534
43	1005	113243
44	1022	112621
45	1041	112215
46	1061	111910
47	1085	111984
48	1105	111692
49	1128	111717
50	1153	111895
51	1171	111486
52	1191	111193
53	1212	111050
54	1231	110702
55	1251	110491
56	1272	110376
57	1293	110198
58	1312	109879
59	1330	109529
60	1349	109282
61	1366	108843
62	1384	108513
63	1405	108425
64	1423	108103
65	1447	108240
66	1467	108052
67	1488	107958
68	1511	108048
69	1533	108026
70	1552	107766
71	1570	107502
72	1589	107303
73	1608	107048
74	1629	107008
75	1648	106830
76	1672	106949
77	1695	106992
78	1712	106701
79	1730	106452
80	1750	106315
81	1773	106390
82	1796	106444
83	1820	106566
84	1844	106642
85	1865	106606
86	1885	106472
87	1910	106625
88	1931	106562
89	1950	106412
90	1970	106275
91	1988	106082
92	2005	105842
93	2028	105846
94	2053	106005
95	2074	105949
96	2091	105742
97	2109	105537
98	2128	105353
99	2146	105170
100	2170	105280
101	2192	105278
102	2216	105375
103	2239	105428
104	2263	105511
105	2284	105452
106	2306	105484
107	2328	105477
108	2346	105307
109	2365	105164
110	2383	105002
111	2404	104918
112	2422	104787
113	2447	104895
114	2469	104887
115	2489	104796
116	2507	104659
117	2524	104465
118	2542	104285
119	2561	104150
120	2582	104133
121	2604	104133
122	2628	104219
123	2650	104229
124	2671	104188
125	2695	104273
126	2719	104351
127	2742	104404
128	2762	104293
129	2780	104160
130	2798	104018
131	2817	103897
132	2834	103724
133	2858	103793
134	2879	103750
135	2898	103661
136	2918	103581
137	2936	103454
138	2957	103433
139	2978	103396
140	3000	103386
141	3024	103465
142	3047	103492
143	3071	103588
144	3093	103563
145	3114	103559
146	3134	103467
147	3151	103308
148	3169	103175
149	3186	103017
150	3203	102864
151	3224	102848
152	3247	102864
153	3267	102826
154	3286	102742
155	3308	102733
156	3324	102561
157	3341	102390
158	3357	102223
159	3377	102156
160	3400	102191
161	3422	102218
162	3443	102191
163	3464	102163
164	3487	102189
165	3509	102206
166	3529	102144
167	3546	102018
168	3563	101870
169	3585	101873
170	3606	101857
171	3626	101788
172	3645	101715
173	3665	101664
174	3684	101577
175	3700	101431
176	3722	101427
177	3738	101283
178	3756	101182
179	3776	101116
180	3799	101158
181	3821	101169
182	3841	101113
183	3864	101158
184	3886	101161
185	3908	101159
186	3926	101059
187	3944	100966
188	3959	100800
189	3975	100649
190	3991	100496
191	4006	100325
192	4021	100168
193	4036	100004
194	4053	99878
195	4069	99751
196	4085	99615
197	4102	99501
198	4120	99414
199	4135	99263
200	4154	99179
201	4170	99055
202	4187	98943
203	4201	98781
204	4219	98693
205	4235	98569
206	4250	98423
207	4267	98311
208	4283	98188
209	4300	98081
210	4320	98052
211	4337	97970
212	4356	97900
213	4377	97911
